Date,DataDomain,Market,RecordsChecked,CompletenessPct,DuplicationPct,ErrorRatePct,Incidents,Escalations
2024-05-01,Pricing,Italy,14304,0.914,0.021,0.011,6,0
2024-05-01,Pricing,USA,12688,0.988,0.021,0.015,10,0
2024-05-01,Pricing,UAE,14566,0.964,0.037,0.007,5,1
2024-05-01,Pricing,Japan,11648,0.939,0.017,0.022,8,1
2024-05-01,SupplyChain,France,14985,0.942,0.031,0.021,5,3
2024-05-01,SupplyChain,Italy,8343,0.971,0.016,0.014,2,2
2024-05-01,SupplyChain,USA,9854,0.945,0.027,0.027,9,3
2024-05-01,SupplyChain,UAE,13997,0.968,0.011,0.008,14,3
2024-05-01,SupplyChain,Japan,14747,0.923,0.057,0.019,11,1
2024-05-01,Finance,France,12976,0.902,0.013,0.017,7,3
2024-05-01,Finance,Italy,9577,0.945,0.015,0.021,8,2
2024-05-01,Finance,USA,13297,0.908,0.032,0.01,11,1
2024-05-01,Finance,UAE,8007,0.926,0.05,0.019,4,0
2024-05-01,Finance,Japan,12654,0.918,0.055,0.018,11,3
2024-06-01,Client,France,11525,0.971,0.026,0.026,2,2
2024-06-01,Client,Italy,13745,0.915,0.035,0.02,6,4
2024-06-01,Client,USA,14011,0.974,0.026,0.025,13,2
2024-06-01,Client,UAE,10591,0.911,0.047,0.013,0,4
2024-06-01,Client,Japan,9910,0.911,0.046,0.013,11,1
2024-06-01,Product,France,13854,0.959,0.016,0.022,2,0
2024-06-01,Product,Italy,10243,0.965,0.055,0.007,4,2
2024-06-01,Product,USA,14844,0.93,0.025,0.028,5,2
2024-06-01,Product,UAE,13514,0.981,0.043,0.013,7,1
2024-06-01,Product,Japan,13077,0.975,0.027,0.009,4,3
2024-06-01,Pricing,France,11831,0.908,0.046,0.016,1,0
2024-06-01,Pricing,Italy,14450,0.941,0.047,0.021,5,0
2024-06-01,Pricing,USA,14980,0.973,0.052,0.011,0,3
2024-06-01,Pricing,UAE,10940,0.961,0.026,0.022,11,0
2024-06-01,Pricing,Japan,13779,0.92,0.052,0.012,14,2
2024-06-01,SupplyChain,France,14659,0.978,0.021,0.014,4,2
2024-06-01,SupplyChain,Italy,9336,0.927,0.043,0.028,11,0
2024-06-01,SupplyChain,USA,12646,0.973,0.013,0.027,2,0
2024-06-01,SupplyChain,UAE,12741,0.96,0.038,0.008,7,3
2024-06-01,SupplyChain,Japan,12596,0.949,0.029,0.029,13,2
2024-06-01,Finance,France,8595,0.902,0.031,0.006,5,0
2024-06-01,Finance,Italy,12178,0.988,0.051,0.022,11,3
2024-06-01,Finance,USA,10220,0.987,0.046,0.013,6,0
2024-06-01,Finance,UAE,9531,0.957,0.032,0.01,4,4
2024-06-01,Finance,Japan,10723,0.909,0.022,0.005,7,3
2024-07-01,Client,France,14232,0.974,0.014,0.011,13,0
2024-07-01,Client,Italy,13827,0.906,0.054,0.027,12,0
2024-07-01,Client,USA,13751,0.917,0.014,0.011,0,3
2024-07-01,Client,UAE,13154,0.924,0.049,0.019,4,4
2024-07-01,Client,Japan,13423,0.975,0.04,0.008,12,0
2024-07-01,Product,France,11516,0.903,0.053,0.007,0,4
2024-07-01,Product,Italy,8342,0.939,0.026,0.016,14,0
2024-07-01,Product,USA,12754,0.98,0.032,0.02,2,3
2024-07-01,Product,UAE,12600,0.963,0.022,0.018,11,3
2024-07-01,Product,Japan,13525,0.971,0.059,0.012,7,1
2024-07-01,Pricing,France,10394,0.967,0.035,0.021,5,0
2024-07-01,Pricing,Italy,11793,0.933,0.034,0.006,7,2
2024-07-01,Pricing,USA,11451,0.942,0.033,0.017,2,2
2024-07-01,Pricing,UAE,9455,0.925,0.02,0.018,5,0
2024-07-01,Pricing,Japan,9325,0.904,0.052,0.026,0,1
2024-07-01,SupplyChain,France,13926,0.972,0.039,0.018,10,0
2024-07-01,SupplyChain,Italy,9800,0.974,0.024,0.025,4,2
2024-07-01,SupplyChain,USA,11642,0.946,0.054,0.017,10,2
2024-07-01,SupplyChain,UAE,13002,0.912,0.024,0.015,11,2
2024-07-01,SupplyChain,Japan,11403,0.979,0.044,0.011,12,0
2024-07-01,Finance,France,11372,0.965,0.058,0.023,8,2
2024-07-01,Finance,Italy,8173,0.905,0.023,0.006,14,3
2024-07-01,Finance,USA,14993,0.923,0.043,0.025,3,1
2024-07-01,Finance,UAE,14628,0.911,0.031,0.024,0,3
2024-07-01,Finance,Japan,11449,0.929,0.047,0.015,12,0
2024-08-01,Client,France,8201,0.933,0.04,0.005,1,2
2024-08-01,Client,Italy,11189,0.91,0.018,0.009,5,2
2024-08-01,Client,USA,12724,0.981,0.013,0.018,7,1
2024-08-01,Client,UAE,13200,0.963,0.037,0.016,6,4
2024-08-01,Client,Japan,9998,0.904,0.016,0.019,14,0
2024-08-01,Product,France,9431,0.959,0.052,0.022,1,3
2024-08-01,Product,Italy,10658,0.907,0.037,0.027,13,3
2024-08-01,Product,USA,11435,0.972,0.051,0.026,14,0
2024-08-01,Product,UAE,11134,0.909,0.054,0.005,10,0
2024-08-01,Product,Japan,9141,0.964,0.044,0.014,7,3
2024-08-01,Pricing,France,10980,0.958,0.012,0.024,14,3
2024-08-01,Pricing,Italy,13906,0.902,0.042,0.021,10,2
2024-08-01,Pricing,USA,12221,0.954,0.015,0.026,7,1
2024-08-01,Pricing,UAE,11759,0.92,0.059,0.016,3,0
2024-08-01,Pricing,Japan,9900,0.987,0.021,0.029,2,2
2024-08-01,SupplyChain,France,12652,0.935,0.012,0.006,10,1
2024-08-01,SupplyChain,Italy,11634,0.902,0.048,0.016,13,1
2024-08-01,SupplyChain,USA,14628,0.975,0.029,0.014,2,3
2024-08-01,SupplyChain,UAE,8785,0.974,0.059,0.012,14,3
2024-08-01,SupplyChain,Japan,9936,0.935,0.027,0.019,4,0
2024-08-01,Finance,France,10352,0.948,0.018,0.011,6,2
2024-08-01,Finance,Italy,13673,0.974,0.045,0.009,4,3
2024-08-01,Finance,USA,9556,0.987,0.038,0.014,11,4
2024-08-01,Finance,UAE,14626,0.914,0.051,0.01,12,0
2024-08-01,Finance,Japan,11170,0.979,0.041,0.019,9,2
2024-09-01,Client,France,12260,0.966,0.017,0.026,4,3
2024-09-01,Client,Italy,9909,0.92,0.058,0.028,10,4
2024-09-01,Client,USA,11630,0.978,0.017,0.025,11,4
2024-09-01,Client,UAE,8976,0.961,0.033,0.006,5,0
2024-09-01,Client,Japan,8882,0.942,0.059,0.017,5,1
2024-09-01,Product,France,13347,0.926,0.02,0.024,14,2
2024-09-01,Product,Italy,12810,0.983,0.028,0.023,4,2
2024-09-01,Product,USA,12177,0.94,0.04,0.02,6,4
2024-09-01,Product,UAE,12258,0.918,0.015,0.026,0,0
2024-09-01,Product,Japan,12976,0.927,0.022,0.013,2,2
2024-09-01,Pricing,France,14980,0.946,0.041,0.028,1,4
2024-09-01,Pricing,Italy,13845,0.965,0.045,0.008,13,4
2024-09-01,Pricing,USA,9999,0.974,0.027,0.023,13,0
2024-09-01,Pricing,UAE,11234,0.99,0.044,0.026,6,2
2024-09-01,Pricing,Japan,9088,0.931,0.042,0.007,12,4
2024-09-01,SupplyChain,France,10235,0.959,0.048,0.026,1,0
2024-09-01,SupplyChain,Italy,12897,0.907,0.03,0.015,5,2
2024-09-01,SupplyChain,USA,11426,0.949,0.042,0.019,1,4
2024-09-01,SupplyChain,UAE,11644,0.909,0.053,0.022,0,1
2024-09-01,SupplyChain,Japan,14465,0.907,0.03,0.012,11,1
2024-09-01,Finance,France,10342,0.936,0.025,0.009,6,2
2024-09-01,Finance,Italy,11701,0.929,0.034,0.011,8,4
2024-09-01,Finance,USA,10828,0.954,0.028,0.021,5,0
2024-09-01,Finance,UAE,8182,0.945,0.032,0.02,7,3
2024-09-01,Finance,Japan,8659,0.961,0.022,0.023,3,4
2024-10-01,Client,France,14551,0.926,0.038,0.008,10,1
2024-10-01,Client,Italy,9035,0.945,0.024,0.008,1,2
2024-10-01,Client,USA,13835,0.936,0.015,0.01,12,1
2024-10-01,Client,UAE,9809,0.925,0.045,0.007,1,0
2024-10-01,Client,Japan,10437,0.922,0.047,0.013,10,0
2024-10-01,Product,France,10624,0.912,0.038,0.027,3,3
2024-10-01,Product,Italy,8818,0.939,0.055,0.014,11,2
2024-10-01,Product,USA,11492,0.91,0.012,0.019,11,2
2024-10-01,Product,UAE,11800,0.963,0.01,0.009,4,2
2024-10-01,Product,Japan,13220,0.987,0.048,0.029,14,0
2024-10-01,Pricing,France,9629,0.924,0.034,0.021,4,1
2024-10-01,Pricing,Italy,13008,0.932,0.058,0.018,8,2
2024-10-01,Pricing,USA,11374,0.91,0.042,0.024,8,3
2024-10-01,Pricing,UAE,13574,0.969,0.031,0.026,14,1
2024-10-01,Pricing,Japan,12744,0.959,0.034,0.027,0,3
2024-10-01,SupplyChain,France,10668,0.968,0.012,0.015,7,3
2024-10-01,SupplyChain,Italy,14417,0.966,0.059,0.006,11,0
2024-10-01,SupplyChain,USA,8355,0.908,0.012,0.022,0,1
2024-10-01,SupplyChain,UAE,14708,0.924,0.052,0.005,4,1
2024-10-01,SupplyChain,Japan,10005,0.964,0.057,0.006,2,0
2024-10-01,Finance,France,11851,0.954,0.01,0.017,3,1
2024-10-01,Finance,Italy,11259,0.936,0.048,0.016,14,0
2024-10-01,Finance,USA,10151,0.912,0.053,0.019,9,2
2024-10-01,Finance,UAE,10222,0.973,0.016,0.012,4,0
2024-10-01,Finance,Japan,8032,0.967,0.021,0.021,11,2
2024-11-01,Client,France,14516,0.958,0.059,0.026,8,2
2024-11-01,Client,Italy,14919,0.97,0.049,0.016,5,2
2024-11-01,Client,USA,8643,0.981,0.046,0.028,1,3
2024-11-01,Client,UAE,11276,0.967,0.034,0.006,9,0
2024-11-01,Client,Japan,8630,0.971,0.06,0.019,14,3
2024-11-01,Product,France,8277,0.933,0.021,0.01,9,0
2024-11-01,Product,Italy,8025,0.976,0.026,0.012,12,4
2024-11-01,Product,USA,14599,0.957,0.029,0.022,10,0
2024-11-01,Product,UAE,9072,0.985,0.027,0.023,8,0
2024-11-01,Product,Japan,12781,0.906,0.017,0.005,3,0
2024-11-01,Pricing,France,14602,0.904,0.031,0.013,1,4
2024-11-01,Pricing,Italy,13241,0.961,0.014,0.012,5,1
2024-11-01,Pricing,USA,14857,0.916,0.033,0.019,5,4
2024-11-01,Pricing,UAE,10567,0.919,0.012,0.026,10,4
2024-11-01,Pricing,Japan,14193,0.977,0.022,0.029,3,2
2024-11-01,SupplyChain,France,9275,0.99,0.046,0.03,8,3
2024-11-01,SupplyChain,Italy,13258,0.941,0.056,0.009,5,1
2024-11-01,SupplyChain,USA,14297,0.901,0.051,0.023,12,1
2024-11-01,SupplyChain,UAE,9296,0.986,0.036,0.029,6,4
2024-11-01,SupplyChain,Japan,10409,0.943,0.046,0.011,0,2
2024-11-01,Finance,France,13158,0.97,0.058,0.024,12,3
2024-11-01,Finance,Italy,12232,0.975,0.049,0.014,11,1
2024-11-01,Finance,USA,11326,0.957,0.021,0.013,1,2
2024-11-01,Finance,UAE,10837,0.939,0.011,0.017,12,4
2024-11-01,Finance,Japan,12105,0.981,0.018,0.03,1,2
2024-12-01,Client,France,10176,0.904,0.048,0.014,3,3
2024-12-01,Client,Italy,8628,0.903,0.013,0.016,9,0
2024-12-01,Client,USA,12369,0.989,0.029,0.019,1,3
2024-12-01,Client,UAE,11008,0.922,0.02,0.028,3,1
2024-12-01,Client,Japan,12410,0.92,0.012,0.006,0,1
2024-12-01,Product,France,9772,0.92,0.032,0.023,7,2
2024-12-01,Product,Italy,8660,0.947,0.048,0.012,11,1
2024-12-01,Product,USA,12647,0.936,0.048,0.026,3,1
2024-12-01,Product,UAE,10675,0.918,0.023,0.012,6,3
2024-12-01,Product,Japan,11565,0.906,0.013,0.029,4,0
2024-12-01,Pricing,France,14850,0.909,0.051,0.006,3,1
2024-12-01,Pricing,Italy,14108,0.969,0.043,0.009,8,0
2024-12-01,Pricing,USA,14614,0.904,0.025,0.028,14,4
2024-12-01,Pricing,UAE,12776,0.9,0.031,0.018,4,0
2024-12-01,Pricing,Japan,9673,0.918,0.02,0.005,3,2
2024-12-01,SupplyChain,France,8383,0.9,0.046,0.029,5,2
2024-12-01,SupplyChain,Italy,13630,0.958,0.031,0.024,9,1
2024-12-01,SupplyChain,USA,11613,0.929,0.046,0.025,13,0
2024-12-01,SupplyChain,UAE,12591,0.981,0.05,0.03,7,4
2024-12-01,SupplyChain,Japan,8309,0.953,0.043,0.007,14,1
2024-12-01,Finance,France,11273,0.902,0.023,0.018,0,2
2024-12-01,Finance,Italy,11551,0.904,0.023,0.02,3,0
2024-12-01,Finance,USA,13754,0.968,0.015,0.018,8,2
2024-12-01,Finance,UAE,11875,0.988,0.032,0.009,14,2
2024-12-01,Finance,Japan,11072,0.911,0.016,0.026,8,0
